,Datetime,Adj Close,Close,High,Low,Open,Volume
22129,2024-10-21 16:19:00+00:00,5839.8701171875,5839.8701171875,5839.8701171875,5838.06982421875,5838.06982421875,2651744.0
22130,2024-10-21 16:20:00+00:00,5839.5,5839.5,5840.43994140625,5839.5,5839.91015625,2987393.0
22131,2024-10-21 16:21:00+00:00,5839.02001953125,5839.02001953125,5839.6201171875,5838.58984375,5839.490234375,2518544.0
22132,2024-10-21 16:22:00+00:00,5840.009765625,5840.009765625,5840.009765625,5838.990234375,5839.25,2880258.0
22133,2024-10-21 16:23:00+00:00,5839.56982421875,5839.56982421875,5840.0400390625,5838.919921875,5840.0400390625,2433926.0
22134,2024-10-21 16:24:00+00:00,5840.89990234375,5840.89990234375,5840.89990234375,5839.14990234375,5839.5498046875,2644960.0
22135,2024-10-21 16:25:00+00:00,5841.39990234375,5841.39990234375,5841.56982421875,5840.7998046875,5840.85986328125,2438170.0
22136,2024-10-21 16:26:00+00:00,5841.77001953125,5841.77001953125,5841.8798828125,5841.27978515625,5841.56005859375,2067995.0
22137,2024-10-21 16:27:00+00:00,5840.06982421875,5840.06982421875,5841.81982421875,5840.06982421875,5841.7998046875,2314848.0
22138,2024-10-21 16:28:00+00:00,5839.58984375,5839.58984375,5840.10009765625,5838.93994140625,5840.06005859375,2669283.0
22139,2024-10-21 16:29:00+00:00,5840.35986328125,5840.35986328125,5841.14013671875,5839.580078125,5839.580078125,2360309.0
22140,2024-10-21 16:30:00+00:00,5840.77978515625,5840.77978515625,5841.02978515625,5840.31982421875,5840.31982421875,2114493.0
22141,2024-10-21 16:31:00+00:00,5840.6298828125,5840.6298828125,5841.0,5840.43017578125,5840.77978515625,2286858.0
22142,2024-10-21 16:32:00+00:00,5840.02978515625,5840.02978515625,5840.8798828125,5839.81982421875,5840.64013671875,2665219.0
22143,2024-10-21 16:33:00+00:00,5841.31982421875,5841.31982421875,5841.31982421875,5839.8701171875,5840.080078125,2476594.0
22144,2024-10-21 16:34:00+00:00,5841.9501953125,5841.9501953125,5841.97998046875,5841.240234375,5841.25,2215573.0
22145,2024-10-21 16:35:00+00:00,5840.509765625,5840.509765625,5842.35009765625,5840.509765625,5841.97021484375,2889149.0
22146,2024-10-21 16:36:00+00:00,5840.52978515625,5840.52978515625,5840.669921875,5839.60986328125,5840.509765625,2284950.0
22147,2024-10-21 16:37:00+00:00,5839.68994140625,5839.68994140625,5840.81982421875,5839.6298828125,5840.58984375,2312910.0
22148,2024-10-21 16:38:00+00:00,5838.89990234375,5838.89990234375,5839.89990234375,5838.66015625,5839.64990234375,2481674.0
22149,2024-10-21 16:39:00+00:00,5838.919921875,5838.919921875,5839.08984375,5837.919921875,5838.85009765625,2623440.0
22150,2024-10-21 16:40:00+00:00,5839.85009765625,5839.85009765625,5839.93994140625,5838.8798828125,5838.8798828125,2380679.0
22151,2024-10-21 16:41:00+00:00,5839.66015625,5839.66015625,5840.14990234375,5839.60009765625,5839.8701171875,2746752.0
22152,2024-10-21 16:42:00+00:00,5840.14013671875,5840.14013671875,5840.14013671875,5839.25,5839.47021484375,1877010.0
22153,2024-10-21 16:43:00+00:00,5839.93994140625,5839.93994140625,5840.18994140625,5839.93017578125,5840.1201171875,2168965.0
22154,2024-10-21 16:44:00+00:00,5840.1298828125,5840.1298828125,5840.22021484375,5839.68017578125,5839.8701171875,1884202.0
22155,2024-10-21 16:45:00+00:00,5840.0498046875,5840.0498046875,5840.35009765625,5840.0400390625,5840.1201171875,2142812.0
22156,2024-10-21 16:46:00+00:00,5839.43994140625,5839.43994140625,5840.22998046875,5839.41015625,5840.0,2402299.0
22157,2024-10-21 16:47:00+00:00,5840.85009765625,5840.85009765625,5841.0400390625,5839.3798828125,5839.43994140625,2577886.0
22158,2024-10-21 16:48:00+00:00,5840.72021484375,5840.72021484375,5841.02978515625,5840.4501953125,5840.85009765625,2112513.0
22159,2024-10-21 16:49:00+00:00,5840.60009765625,5840.60009765625,5840.85009765625,5840.60009765625,5840.669921875,1769080.0
22160,2024-10-21 16:50:00+00:00,5841.06982421875,5841.06982421875,5841.18994140625,5840.580078125,5840.58984375,1874757.0
22161,2024-10-21 16:51:00+00:00,5842.490234375,5842.490234375,5842.490234375,5841.06005859375,5841.06005859375,1926181.0
22162,2024-10-21 16:52:00+00:00,5843.31982421875,5843.31982421875,5843.7099609375,5842.490234375,5842.509765625,2398909.0
22163,2024-10-21 16:53:00+00:00,5844.1298828125,5844.1298828125,5844.4599609375,5843.2998046875,5843.2998046875,2583151.0
22164,2024-10-21 16:54:00+00:00,5845.64990234375,5845.64990234375,5845.8701171875,5844.1298828125,5844.169921875,2911922.0
22165,2024-10-21 16:55:00+00:00,5846.60986328125,5846.60986328125,5846.89990234375,5845.35986328125,5845.60986328125,2632402.0
22166,2024-10-21 16:56:00+00:00,5846.85986328125,5846.85986328125,5846.93994140625,5846.25,5846.6298828125,2599863.0
22167,2024-10-21 16:57:00+00:00,5846.43017578125,5846.43017578125,5846.93017578125,5846.2900390625,5846.93017578125,2204552.0
22168,2024-10-21 16:58:00+00:00,5846.97021484375,5846.97021484375,5846.990234375,5846.39990234375,5846.39990234375,1866945.0
22169,2024-10-21 16:59:00+00:00,5846.83984375,5846.83984375,5847.009765625,5846.60009765625,5846.919921875,2546704.0
22170,2024-10-21 17:00:00+00:00,5847.509765625,5847.509765625,5848.0400390625,5846.7099609375,5846.91015625,2717846.0
22171,2024-10-21 17:01:00+00:00,5847.5498046875,5847.5498046875,5848.10009765625,5847.52001953125,5847.52001953125,2570036.0
22172,2024-10-21 17:02:00+00:00,5847.75,5847.75,5847.830078125,5847.240234375,5847.43994140625,1953518.0
22173,2024-10-21 17:03:00+00:00,5847.5,5847.5,5848.14013671875,5847.5,5847.68017578125,2364194.0
22174,2024-10-21 17:04:00+00:00,5846.7998046875,5846.7998046875,5847.4599609375,5846.39990234375,5847.4599609375,2195058.0
22175,2024-10-21 17:05:00+00:00,5847.43017578125,5847.43017578125,5847.5,5846.7001953125,5846.75,2733066.0
22176,2024-10-21 17:06:00+00:00,5847.14013671875,5847.14013671875,5847.4501953125,5846.81005859375,5847.43994140625,2094913.0
22177,2024-10-21 17:07:00+00:00,5847.22021484375,5847.22021484375,5847.41015625,5846.93994140625,5847.14990234375,2418746.0
22178,2024-10-21 17:08:00+00:00,5848.72021484375,5848.72021484375,5848.77978515625,5847.25,5847.25,2273616.0
22179,2024-10-21 17:09:00+00:00,5848.5498046875,5848.5498046875,5848.83984375,5848.47998046875,5848.7099609375,1820654.0
